[2026-07-02 12:18:44] Attempt:    0 | t:    0             | Temperature: 1000.0000 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:    1 | t:    0             | Temperature: 950.0000 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:    2 | t:    0             | Temperature: 902.5000 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    3 | t:    0             | Temperature: 857.3750 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    4 | t:    0             | Temperature: 814.5062 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    5 | t:    0             | Temperature: 773.7809 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    6 | t:    0             | Temperature: 735.0919 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    7 | t:    0             | Temperature: 698.3373 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    8 | t:    0             | Temperature: 663.4204 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:    9 | t:    0             | Temperature: 630.2494 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   10 | t:    0             | Temperature: 598.7369 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   11 | t:    0             | Temperature: 568.8001 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   12 | t:    0             | Temperature: 540.3601 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   13 | t:    0             | Temperature: 513.3421 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   14 | t:    0             | Temperature: 487.6750 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   15 | t:    0             | Temperature: 463.2912 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   16 | t:    0             | Temperature: 440.1267 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   17 | t:    0             | Temperature: 418.1203 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   18 | t:    0             | Temperature: 397.2143 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   19 | t:    0             | Temperature: 377.3536 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   20 | t:    0             | Temperature: 358.4859 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   21 | t:    0             | Temperature: 340.5616 | Score: 16396.0000
[2026-07-02 12:18:44] Attempt:   22 | t:    0             | Temperature: 323.5335 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   23 | t:    0             | Temperature: 307.3569 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   24 | t:    0             | Temperature: 291.9890 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   25 | t:    0             | Temperature: 277.3896 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   26 | t:    0             | Temperature: 263.5201 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   27 | t:    0             | Temperature: 250.3441 | Score: 16840.0000
[2026-07-02 12:18:44] Attempt:   28 | t:    0             | Temperature: 237.8269 | Score: 16754.0000
