[2026-07-02_13-31-02] Attempt:   62 | t:    0             | Temperature:  20.7890 | Score: 254636.0000
[2026-07-02_13-31-02] Attempt:   63 | t:    0             | Temperature:  19.7495 | Score: 254636.0000
[2026-07-02_13-31-02] Attempt:   64 | t:    0             | Temperature:  18.7621 | Score: 254636.0000
[2026-07-02_13-31-02] Attempt:   65 | t:    0             | Temperature:  17.8240 | Score: 254636.0000
[2026-07-02_13-31-02] Attempt:   66 | t:    0             | Temperature:  16.9328 | Score: 254636.0000
[2026-07-02_13-31-02] Attempt:   67 | t:    0             | Temperature:  16.0861 | Score: 254636.0000
[2026-07-02_13-31-02] Attempt:   68 | t:    0             | Temperature:  15.2818 | Score: 254594.0000
[2026-07-02_13-31-02] Attempt:   69 | t:    0             | Temperature:  14.5177 | Score: 254594.0000
[2026-07-02_13-31-02] Attempt:   70 | t:    0             | Temperature:  13.7918 | Score: 254594.0000
[2026-07-02_13-31-02] Attempt:   71 | t:    0             | Temperature:  13.1023 | Score: 254594.0000
[2026-07-02_13-31-02] Attempt:   72 | t:    0             | Temperature:  12.4471 | Score: 254594.0000
[2026-07-02_13-31-02] Attempt:   73 | t:    0             | Temperature:  11.8248 | Score: 254594.0000
[2026-07-02_13-31-02] Attempt:   74 | t:    0             | Temperature:  11.2335 | Score: 250278.0000
[2026-07-02_13-31-02] Attempt:   75 | t:    0             | Temperature:  10.6719 | Score: 245340.0000
[2026-07-02_13-31-02] Attempt:   76 | t:    0             | Temperature:  10.1383 | Score: 245340.0000
[2026-07-02_13-31-02] Attempt:   -1 | t:   -1             | Temperature:   9.6314 | Score: 245340.0000
