[2026-07-02 12:58:24] Attempt:    0 | t:    0             | Temperature: 1000.0000 | Score: 324009.0000
[2026-07-02 12:58:24] Attempt:    1 | t:    0             | Temperature: 950.0000 | Score: 324009.0000
[2026-07-02 12:58:24] Attempt:    2 | t:    0             | Temperature: 902.5000 | Score: 324322.0000
[2026-07-02 12:58:24] Attempt:    3 | t:    0             | Temperature: 857.3750 | Score: 325484.0000
[2026-07-02 12:58:24] Attempt:    4 | t:    0             | Temperature: 814.5062 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:    5 | t:    0             | Temperature: 773.7809 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:    6 | t:    0             | Temperature: 735.0919 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:    7 | t:    0             | Temperature: 698.3373 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:    8 | t:    0             | Temperature: 663.4204 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:    9 | t:    0             | Temperature: 630.2494 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:   10 | t:    0             | Temperature: 598.7369 | Score: 325156.0000
[2026-07-02 12:58:24] Attempt:   11 | t:    0             | Temperature: 568.8001 | Score: 324798.0000
[2026-07-02 12:58:24] Attempt:   12 | t:    0             | Temperature: 540.3601 | Score: 324799.0000
[2026-07-02 12:58:24] Attempt:   13 | t:    0             | Temperature: 513.3421 | Score: 324799.0000
[2026-07-02 12:58:24] Attempt:   14 | t:    0             | Temperature: 487.6750 | Score: 324109.0000
[2026-07-02 12:58:24] Attempt:   15 | t:    0             | Temperature: 463.2912 | Score: 324385.0000
[2026-07-02 12:58:24] Attempt:   16 | t:    0             | Temperature: 440.1267 | Score: 324385.0000
[2026-07-02 12:58:24] Attempt:   17 | t:    0             | Temperature: 418.1203 | Score: 324385.0000
[2026-07-02 12:58:24] Attempt:   18 | t:    0             | Temperature: 397.2143 | Score: 324385.0000
[2026-07-02 12:58:24] Attempt:   19 | t:    0             | Temperature: 377.3536 | Score: 324385.0000
[2026-07-02 12:58:24] Attempt:   20 | t:    0             | Temperature: 358.4859 | Score: 324407.0000
[2026-07-02 12:58:24] Attempt:   21 | t:    0             | Temperature: 340.5616 | Score: 324347.0000
[2026-07-02 12:58:24] Attempt:   22 | t:    0             | Temperature: 323.5335 | Score: 324347.0000
