[2026-07-03_09-25-25] Attempt:   12 | t:    0             | Temperature: 270.1800 | Score: 940169.0000
[2026-07-03_09-25-25] Attempt:   13 | t:    0             | Temperature: 256.6710 | Score: 940169.0000
[2026-07-03_09-25-25] Attempt:   14 | t:    0             | Temperature: 243.8375 | Score: 940169.0000
[2026-07-03_09-25-25] Attempt:   15 | t:    0             | Temperature: 231.6456 | Score: 940186.0000
[2026-07-03_09-25-25] Attempt:   16 | t:    0             | Temperature: 220.0633 | Score: 940328.0000
[2026-07-03_09-25-25] Attempt:   17 | t:    0             | Temperature: 209.0602 | Score: 940328.0000
[2026-07-03_09-28-47] Attempt:    0 | t:    0             | Temperature: 500.0000 | Score: 1883790.0000
[2026-07-03_09-28-47] Attempt:    1 | t:    0             | Temperature: 475.0000 | Score: 1883790.0000
[2026-07-03_09-28-47] Attempt:    2 | t:    0             | Temperature: 451.2500 | Score: 1883790.0000
[2026-07-03_09-28-47] Attempt:    3 | t:    0             | Temperature: 428.6875 | Score: 1883366.0000
[2026-07-03_09-28-47] Attempt:    4 | t:    0             | Temperature: 407.2531 | Score: 1883016.0000
[2026-07-03_09-28-47] Attempt:    5 | t:    0             | Temperature: 386.8905 | Score: 1883446.0000
[2026-07-03_09-28-47] Attempt:    6 | t:    0             | Temperature: 367.5459 | Score: 1883490.0000
[2026-07-03_09-28-47] Attempt:    7 | t:    0             | Temperature: 349.1686 | Score: 1883490.0000
[2026-07-03_09-28-47] Attempt:    8 | t:    0             | Temperature: 331.7102 | Score: 1883490.0000
[2026-07-03_09-28-47] Attempt:    9 | t:    0             | Temperature: 315.1247 | Score: 1882899.0000
[2026-07-03_09-28-47] Attempt:   10 | t:    0             | Temperature: 299.3685 | Score: 1882899.0000
[2026-07-03_09-28-47] Attempt:   11 | t:    0             | Temperature: 284.4000 | Score: 1882827.0000
[2026-07-03_09-28-47] Attempt:   12 | t:    0             | Temperature: 270.1800 | Score: 1882760.0000
[2026-07-03_09-28-47] Attempt:   13 | t:    0             | Temperature: 256.6710 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   14 | t:    0             | Temperature: 243.8375 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   15 | t:    0             | Temperature: 231.6456 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   16 | t:    0             | Temperature: 220.0633 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   17 | t:    0             | Temperature: 209.0602 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   18 | t:    0             | Temperature: 198.6072 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   19 | t:    0             | Temperature: 188.6768 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   20 | t:    0             | Temperature: 179.2430 | Score: 1882820.0000
[2026-07-03_09-28-47] Attempt:   21 | t:    0             | Temperature: 170.2808 | Score: 1876436.0000
[2026-07-03_09-28-47] Attempt:   22 | t:    0             | Temperature: 161.7668 | Score: 1876436.0000
[2026-07-03_09-28-47] Attempt:   23 | t:    0             | Temperature: 153.6784 | Score: 1873413.0000
[2026-07-03_09-28-47] Attempt:   24 | t:    0             | Temperature: 145.9945 | Score: 1873413.0000
[2026-07-03_09-28-47] Attempt:   25 | t:    0             | Temperature: 138.6948 | Score: 1873413.0000
[2026-07-03_09-28-47] Attempt:   26 | t:    0             | Temperature: 131.7600 | Score: 1872322.0000
[2026-07-03_09-28-47] Attempt:   27 | t:    0             | Temperature: 125.1720 | Score: 1871874.0000
[2026-07-03_09-28-47] Attempt:   28 | t:    0             | Temperature: 118.9134 | Score: 1871874.0000
[2026-07-03_09-28-47] Attempt:   29 | t:    0             | Temperature: 112.9678 | Score: 1871874.0000
[2026-07-03_09-28-47] Attempt:   30 | t:    0             | Temperature: 107.3194 | Score: 1871874.0000
[2026-07-03_09-28-47] Attempt:   31 | t:    0             | Temperature: 101.9534 | Score: 1871762.0000
[2026-07-03_09-28-47] Attempt:   32 | t:    0             | Temperature:  96.8557 | Score: 1870959.0000
[2026-07-03_09-28-47] Attempt:   33 | t:    0             | Temperature:  92.0130 | Score: 1868328.0000
[2026-07-03_09-28-47] Attempt:   34 | t:    0             | Temperature:  87.4123 | Score: 1868328.0000
[2026-07-03_09-28-47] Attempt:   35 | t:    0             | Temperature:  83.0417 | Score: 1868328.0000
[2026-07-03_09-37-34] Attempt:    0 | t:    0             | Temperature: 500.0000 | Score: 1881378.0000
[2026-07-03_09-37-34] Attempt:    1 | t:    0             | Temperature: 475.0000 | Score: 1881378.0000
[2026-07-03_09-37-34] Attempt:    2 | t:    0             | Temperature: 451.2500 | Score: 1881378.0000
